ID,Title,Author,Year,Format,File
1,Permata,Fadhlan dkk,2022,pdf,lingga EBOOK Komik Permata
2,Islam Agamaku Buku Teks Pendidikan Agama Islam,Burhanuddin TR,2016,pdf,Buku islam agamaku
3,Pengantar Filsafat Umum,Nurani Soyomukti,2011,pdf,Pengantar-Filsafat-Umum
4,Dilan dia adalah Dilanku tahun 1990,Pidi Baiq,2014,pdf,Dilan
5,Milea suara dari Dilan,Pidi Baiq,2016,pdf,Milea
6,Tentang Kamu, Tere Liye,2016,pdf,Tere liye - tentang kamu
7,Laskar Pelangi, Andrea Hirata,2005,pdf,Laskar Pelangi
8,Ada Cinta di SMA CJR, Haqi Achmad,2016,pdf,Ada Cinta di SMA CJR 
9,Ngenest, Ernest Prakasa,2013,pdf,Ngenest
10,EnglishGrammar, Raymond Murphy,2004,pdf,EnglishGrammar_
11,Tugas Resume Kuliah Umum, Yuniarta P.P,2025,pdf,Tugas Resume Kuliah Umum
